RECID,AABILL21162YJK8R,AABILL22060F32M7,AABILL23060VPVVY,AABILL2406153JKH,AABILL2506033D99,AABILL25121KWZQ4,AABILL25121Q3CP8,AABILL25121T9D7P,,,
BILL_REFERENCE,AABILL21162YJK8R,AABILL22060F32M7,AABILL23060VPVVY,AABILL2406153JKH,AABILL2506033D99,AABILL25121KWZQ4,AABILL25121Q3CP8,AABILL25121T9D7P,,,
ARRANGEMENT_ID,AA21162G97N2,AA21162G97N2,AA21162G97N2,AA21162G97N2,AA21162G97N2,AA21162G97N2,AA21162G97N2,AA21162G97N2,,,
PAYMENT_DATE,20210611,20220309,20230309,20240309,20250309,20250501,20250501,20250501,,,
ACTUAL_PAY_DATE,20210611,20220309,20230309,20240309,20250309,20250501,20250501,20250501,,,
FINANCIAL_DATE,20210611,20220309,20230309,20240309,20250309,20250501,20250501,20250501,,,
DEFER_DATE,,,,,,,,,,,
EXPIRY_DATE,,,,,,,,,,,
CURRENCY,USD,USD,USD,USD,USD,USD,USD,USD,,,
OR_TOTAL_AMOUNT,93029.08,4809.61,5058.26,5334.35,5595.56,826.42,113904.55,49.59,,,
OS_TOTAL_AMOUNT,0,0,0,0,0,0,0,0,,,
OS_TOTAL_AMT_LCY,,,,,,,,,,,
OS_TOTAL_ADJ_AMT,,0,0,0,0,0,,0,,,
PROPERTY,ACCOUNT,DEPOSITINT,DEPOSITINT,DEPOSITINT,DEPOSITINT,PREMATUREUPLIFT,ACCOUNT,TAXREFUND,,,
PROPERTY_22,<c22>ACCOUNT</c22>,"<c22>DEPOSITINT</c22><c22m=""""2"""">DEPOSITINT-TAX</c22>","<c22>DEPOSITINT</c22><c22m=""""2"""">DEPOSITINT-TAX</c22>","<c22>DEPOSITINT</c22><c22m=""""2"""">DEPOSITINT-TAX</c22>","<c22>DEPOSITINT</c22><c22m=""""2"""">DEPOSITINT-TAX</c22>",<c22>PREMATUREUPLIFT</c22>,"<c22>ACCOUNT</c22><c22m=""""2"""">DEPOSITINT</c22><c22m=""""3"""">DEPOSITINT-TAX</c22>",<c22>TAXREFUND</c22>,,,
OR_PROP_AMOUNT,93029.08,5116.61,5381.13,5674.84,5952.72,826.42,113050.03,49.59,,,
OR_PROP_AMT_LCY,,,,,,,,,,,
OS_PROP_AMOUNT,0,0,0,0,0,0,0,0,,,
OS_PROP_AMT_LCY,,,,,,,,,,,
OS_ADJ_PROP_AMT,,0,0,0,0,0,,0,,,
WAIVE_PROP_AMOUNT,,,,,,0,,0,,,
WAIVE_PROP_AMT_LCY,,,,,,,,,,,
REPAY_REF,,,,,,,AAACT251213CH61PB4-20250501,,,,
REPAY_AMOUNT,,,,,,,113050.03,,,,
ADJUST_REF,AAACT21162DZZNPW10-20210611,,,,,,,,,,
ADJUST_AMT,-93029.08,,,,,,,,,,
BILL_STATUS,SETTLED,CAPITALISE,CAPITALISE,CAPITALISE,CAPITALISE,CAPITALISE,SETTLED,CAPITALISE,,,
BILL_ST_CHG_DT,20210611,20220309,20230309,20240309,20250309,20250501,20250501,20250501,,,
SETTLE_STATUS,REPAID,SETTLED,SETTLED,SETTLED,SETTLED,SETTLED,REPAID,SETTLED,,,
SET_ST_CHG_DT,20210611,20220309,20230309,20240309,20250309,20250501,20250501,20250501,,,
AGING_STATUS,SETTLED,,,,,,SETTLED,,,,
AGING_ST_CHG_DT,20210611,,,,,,20250501,,,,
PAYMENT_TYPE,DEPOSIT.PRINCIPAL,INTEREST,INTEREST,INTEREST,INTEREST,CHARGE,DEPOSIT.REDEEM,CHARGE,,,
BILL_DATE,20210611,20220309,20230309,20240309,20250309,20250501,20250501,20250501,,,
BILL_TYPE,EXPECTED,PAYMENT,PAYMENT,PAYMENT,PAYMENT,ACT.CHARGE,PAYMENT,ACT.CHARGE,,,
BILL_FINAL_DATE,,20220309,20230309,20240309,20250309,,,,113854.96,,
PAYMENT_METHOD,DUE,CAPITALISE,CAPITALISE,CAPITALISE,CAPITALISE,CAPITALISE,PAY,CAPITALISE,113078.13,,
PAYMENT_AMOUNT," $93,029.08 "," $4,809.61 "," $5,058.26 "," $5,334.35 "," $5,595.56 ", $826.42 ," $113,904.55 ", $49.59 ,113826.86,77.69,20875.47
PAY_PROPERTY,ACCOUNT,DEPOSITINT,DEPOSITINT,DEPOSITINT,DEPOSITINT,PREMATUREUPLIFT,ACCOUNT,TAXREFUND,,,
OR_PR_AMT,93029.08,5116.61,5381.13,5674.84,5952.72,826.42,113050.03,49.59,0.007502071,854.52,
OS_PR_AMT,0,0,0,0,0,0,0,0,,,
OS_AD_PR_AMT,,0,0,0,0,0,,0,904.11,,
WAIVE_PR_AMT,,,,,,0,,0,20875.47,,
LAST_UPDATE_DATE,2106121226,2203301553,2210211258,2302081854,2401161121,2405271451,2405271501,2405271451,,,
AGING_REF,AAACT21162DZZNPW10,,,,,,AAACT251213CH61PB4,,,,
AGING_REF_106,<c106>AAACT21162DZZNPW10</c106>,,,,,,<c106>AAACT251213CH61PB4</c106>,,,,
DUE_REFERENCE,AAACT21162ZYKDG00Y,AAACT220609436T8VZ,AAACT230604SPDVQ4P,AAACT24061SKX59504,AAACT25060RQWK6L63,AAACT251213CH5ZKW5,AAACT251213CH61P3P,AAACT251213CH5ZKW8,,,
PAYMENT_INDICATOR,DEBIT,CREDIT,CREDIT,CREDIT,CREDIT,DEBIT,CREDIT,CREDIT,,,
